Order ID	Job ID	Job Name	Job Description	Proof Image URL

53161	6728	Big Tex Retail Shirt	Big Tex Retail Design
53164	6737	Antonio (Black)	""
53164	6738	Antonio (White)	""
53165	6739	DRUT	""
53170	6744	Tank (Super  Foxy  Awesome  Hot)--Old Design	"purple tank
old style"
53172	6746	Blank Outerbanks Polo	""
53187	6757	Baking	"""Changing the world: One cookie at a time"""
53164	6759	Cheetah on Black	""
53189	6760	Reach 2013 Part 2	""
53191	6763	Superman	""
53205	6778	"""Coy"" Name On Back"	""
53176	6769	5000L	""
53195	6772	Black Shirts	""
53195	6773	White Shirts	""
53195	6774	Black Hoodies	""
53195	6775	White Hoodies	""
53195	6779	Sweatpants and Shorts	""
53213	6784	Southend On Sea (Retail)	""
53213	6785	Southend On Sea (Custom)	""
53213	6786	custom--black print	""
53219	6789	ND Alumni	""
53221	6792	Blank Polos	""
53222	6793	Honey Badger Hoodies	""
53262	6833	Small Shirt	""
53262	6834	Medium Shirt	""
53262	6835	Large Shirt	""
53262	6836	3xL-1	""
53262	6837	3xL-2	""
53262	6839	Multi Size (3xl & L)	""
53272	6849	Team Steam Puff	""
53272	6850	Arktos & Desta	""
53272	6851	Casey Junior	""
53272	6852	Casey Junior and Tingly	""
53276	6854	Orange Tux	""
53301	6886	19.5 hours of design work @ $20 / hr.	19.5 hours of design work @ $20 / hr.
53303	6888	DMUM Yoga Pant	Light blue print across back of black yoga pant fold.
53305	6891	Buttons	"1.5"" pressed buttons"
53305	6892	Mugs (Tumblers)	""
53305	6893	Keychains	""
53305	6894	Bracelets	""
53305	6895	Notebooks	""
53305	6896	Posters	""
53304	6897	Kamazu Jerseys	""	http://s3.amazonaws.com/admin.annarbortshirtcompany.com/proof_images/6703/Chris_Precht_BEER_BELLY_BREWING_3rd_orange_jersey.jpg
53305	6898	Keychains	""
53306	6899	May 5th  2013	script font
53325	6914	AVPSY Shoe + Tee Launch Samples	Samples for commercial
53384	6949	Blank White Tees	""
53397	6968	Prime One	""
53397	6969	Prime Two	""
53397	6970	Prime Three	""
53397	6971	Prime Four	""
53397	6972	Prime Five	""
53403	6984	BGK	""
53422	6991	Detroit High School Tees	Blank Tees
53424	6992	Long Sleeve Reprint	""
53432	7044	Buttons	150 buttons
53467	7030	RIP Brandon	""
53468	7031	Front + Back	G2000
53468	7032	Front Only - No back print	""
53474	7035	Blank Tees	""
53486	7041	Murals Inc. Pillow Case	""
53487	7042	Two XL Tees	""
53490	7048	Chances Are..	""
53495	7053	Woodland Mews	""	http://s3.amazonaws.com/admin.annarbortshirtcompany.com/proof_images/6943/Harbor_House_hand_towel.png	http://s3.amazonaws.com/admin.annarbortshirtcompany.com/proof_images/6945/Woodland_Mews_hand_towel.png
53495	7054	Harbor House	""
53500	7059	MI Scrubs	""
53506	7070	Custom Tees	""
53513	7085	Zebra	""
53513	7086	Polka Dots	""
53517	7091	Golf Balls	"""The older I get the harder it is to find my balls"" art"
53529	7104	What will you stand for?	Retail Design
53529	7105	DMUM Alumni	Retail Design
