Order ID	Job ID	Job Name	Job Description	Imprints

56668	11738	Septa (DTG-381)	""	Direct To Garment Front (White Base)
56670	11740	Wellness Tees (1cf)	""	Screen Print 1-C Front
56671	11742	M-Powered (2cf  2cb)	""	Screen Print 2-C Front	Screen Print 2-C Back
56672	11743	M-Powered (2cf  2cb)	""	Screen Print 2-C Front	Screen Print 2-C Back
56684	11760	Hakuba (2cf)	""	Screen Print 2-C Front
56673	11745	Totes (1cf  1cb)	""	Screen Print 1-C Front	Screen Print 1-C Back
56674	11746	Pi Kapp Pank (2cf  2cb)	""	Screen Print 2-C Front	Screen Print 2-C Back
56674	11747	Ladies Tanks (1cf  1cb)	""	Screen Print 1-C Front	Screen Print 1-C Back
56676	11750	WFHA Apparel (January 2014) (2cf)	""	Screen Print 2-C Front
56677	11751	Eagle Nation (514) 2 print locations (1cf)	""	Screen Print 1-C Front
56678	11752	Ditch the training Wheels (2cf  2cb)	""	Screen Print 2-C Front	Screen Print 2-C Back
56678	11753	Do It At A Start-Up (2cf  2cb)	""	Screen Print 2-C Front	Screen Print 2-C Back
56679	11754	MC6	""	DTG-NW-F	 DTG-NW-B
56680	11755	YSF 2014 (2cf)	""	Screen Print 2-C Front
56681	11756	Patriot Packaging Computer Bag	""	EMB
56682	11757	Sleep Disorder (dtg-381)	""	Direct To Garment Front (White Base)
56683	11758	TTFC Shirt Pt 3 - 1CF-1CRS-1CB-# on back	""	Screen Print 1-C Front	Screen Print 1-C Back	Screen Print 1-C Right Sleeve
56683	11759	AASC Shirts - 1CF-1CB-1CRS-# on back	""	Screen Print 1-C Front	Screen Print 1-C Back	Screen Print 1-C Right Sleeve
56686	11762	Zeta Psi Rush (1cf  3cb)	""	Screen Print 1-C Front	Screen Print 3-C Back
56687	11770	M-Hacks Large Order (1cf  1cb)	""	Screen Print 1-C Front	Screen Print 1-C Back
56688	11771	Rush Pi Kapps (Jan 2014) (1cf  3cb)	""	Screen Print 1-C Front	Screen Print 3-C Back
56689	11772	Ann Arbor All Stars (1cf  1cb) Reversible	""	Screen Print 1-C Front	Screen Print 1-C Back
56690	11773	Cycleworks reprint (1cf)	""	Screen Print 1-C Front
56691	11774	#3 Hat Embroidery	""	Embroidery
