Name	Description	Imprints
Tees (3cf)	""	Screen Print,3-C,Front
Stupid F'ing Birds Part 2 (2cf)	""	Screen Print,2-C,Front
Customer Provided - EMB left chest (Green 1988 + Silver 1610)	""	Embroidery
Women's Health and Fitness Day (1cf, 1cb)	""	Screen Print,1-C,Front	Screen Print,1-C,Back
"Jurassic Puck (1cf, 2.5 x 14 full block, 8"" white champ)"	""	Screen Print,1-C,Front
Sesame Street Sweatpants Reprint (1cf)	""	Screen Print,1-C,Front
TTFC 7 - 1CF, 1CB, # on back	""	Screen Print,1-C,Front	Screen Print,1-C,Back
Pink Tanks - 1CF, 4CB	Black print on left chest. Black, white, light pink, and yellow print on back.	Screen Print,1-C,Front	Screen Print,4-C,Back
Black Tanks - 2CF, 4CB	Light pink print on left chest. Same four color print on back.	Screen Print,2-C,Front	Screen Print,4-C,Back
ISI Embroidery 	""	Embroidery
AATC Pond Hockey EMB	""	Embroidery
Customer Provided - 2cf	""	Screen Print,2-C,Front
Customer Provided - 2cf (smaller screen)	""	Screen Print,2-C,Front
"tees-gold 1cf/names Fullblock - 2.5x14 black arched/ numbers 8"" black Soccer"	"Front Eagle artwork in black ink
Back Transfers:
names: Fullblock - 2.5x14 black arched

numbers: 8"" black Soccer"	Screen Print,1-C,Front
Full Zip (1cf, 1cb)	""	Screen Print,1-C,Front	Screen Print,1-C,Back
4Star - 4Star Tees, 1CF, 3CB	Heather Grey Next Level tees. Print on front and back.	Screen Print,1-C,Front	Screen Print,3-C,Back	Screen Print,4-C,Sleeve
Customer Provided - EMB left chest (Green 1988 + Silver 1610)	""	Embroidery
White - Ladies Tees - DTGNWF	""	Direct To Garment,Front
Black - Assorted Polos - EMB left chest	""	Embroidery
Beanies - Embroidered	white thread on front of beanies	Embroidery
Men's Patriot Tee - 4CF, 1CRS, 1CB	Next Level 6010. Red, white, blue, and black print on front chest. White print on right sleeve.  White print on back left shoulder.	Screen Print,4-C,Front	Screen Print,1-C,Back	Screen Print,1-C,Right Sleeve
Men's Defender Series - 2CF, 2CB	White + Red ink on front and back	Screen Print,2-C,Front	Screen Print,2-C,Back
HYDE Series - 2CF, 2CB	White and 802c Green ink on front and back	Screen Print,2-C,Front	Screen Print,2-C,Back
Assorted Garments - 1cf	""	Screen Print,1-C,Front	Direct To Garment,Front
Assorted Garments - 1cf/1cls White design	""	Screen Print,1-C,Front	Screen Print,1-C,Left Sleeve	Direct To Garment,Front
Alpha Phi Omega (EMB) Letters/ text	""	Embroidery
Phi Nu Pi (EMB) Letters (Base of neck)	""	Embroidery
Phi Nu Pi (EMB) Letters (Base of neck) OFF WHITE THREAD	""	Embroidery
Assorted Garments - 1cf (center logo plus vertical text on the lower left side)	""	Screen Print,1-C,Front	Direct To Garment,Front
"Meleo Jerseys (3cf,1cb 2.5"" x 14"" white) (SMALLER JERSEYS)"	""	Screen Print,3-C,Front	Screen Print,1-C,Back
Assorted Garments - 1cf (center logo plus vertical text on the lower left side) Black design	""	Screen Print,1-C,Front	Direct To Garment,Front
Assorted Garments - 1cf/1cls Black design	""	Screen Print,1-C,Front	Screen Print,1-C,Left Sleeve	Direct To Garment,Front
tees- gray 1cf	Distressed EMU E on the front of 12 shirts.	Screen Print,1-C,Front
Easter Seals for Women Only 2015 - 2CF, 1CRS	Red hoody with white and black ink on front chest and/or sleeve.	Screen Print,2-C,Front	Screen Print,1-C,Right Sleeve
HWNDLOGOANDC Hooded Sweatshirt (DTG)	""	Direct To Garment,Front
Iasa Board Quarter Zips (1cf, transfer back)	""	Screen Print,1-C,Front
tank-white 2cf	""	Screen Print,2-C,Front
Black - Beanie with Pom - EMB	""	Embroidery
PIONEER (PURPLE GARMENTS) (white/black ink) 2cf	""	Screen Print,2-C,Front	Direct To Garment,Front
PIONEER (BLACK/ GREY Garments) (purple/ white ink) 2cf	""	Screen Print,2-C,Front	Direct To Garment,Front
Anecdote 2.0 - 1CF, 2CB	Hot pink ink on right hip (front). White and hot pink oink on full back.	Screen Print,1-C,Front	Screen Print,2-C,Back
"Minions Soccer (1cf, 2.5 x14, 8"" numbers black)"	""	Screen Print,1-C,Front
"Minions Soccer (1cf, 2.5 x14, 8"" numbers white)"	""	Screen Print,1-C,Front
