Order ID	Job ID	Job Name	Job Description	Proof Image URL

60136	17616	Blank Tees	""
60166	17666	Blank Garment	""
60215	17755	Blank Tees (BRING TO FRONT)	""
60222	17765	Blank Scarves	Blank scarves  no emboridery
60246	17795	"Customer Provided - T#fb (Champ 8"" Black)"	""
60522	18277	Blank Garments	""
60338	17956	Let Love In Events (various merch)	""
60480	18210	Bloody Valentine Show	""
60370	18014	Assorted Garments - No print	""
60412	18096	Palm Beach Classic Art	""
60275	18111	Blank Garments	""
60480	18208	Twiztid - 3 Hears Shirt	""
60480	18209	Twiztid - Eat Your Heart Out - Girly Tank	""
60522	18278	Blank Garments - Misfits flowy samples	""
60526	18282	Front + Right Sleeve [NO BACK]	""
60526	18283	Front + Back [NO SLEEVE]	""
60536	18303	ADPI Green Block M	"Green Block M with ADPI in the middle and ""St. Fratty's Day 2015"" Underneath"
60557	18345	Samples	3 shirts and Hat
60560	18352	Hoodie Sample	""
60576	18369	Blank Garments	""
60562	18438	Shoes	Phi Rho Alpha Shoes - Retail art	http://s3.amazonaws.com/admin.annarbortshirtcompany.com/proof_images/25005/Rich_Dama_SAMPLES_PHI_RHO_ALPHA_3Q.jpg
60612	18448	Sample	""
60636	18485	Squeegee Science	Invoice
60652	18514	Vests	""
60654	18516	Light Jerseys (Sublimation)	""
60654	18522	Dark Jerseys (Sublimation)	""
60712	18710	Blank shirt. No decoration.	""
60726	18712	underpants.	Need to measure decoration area  transfer ability/print ability to determine cost  and best decoration method.
60734	18727	Tanks	""
60734	18728	Long Sleeve	""
60735	18730	SAMPLES Bags	""
60760	18790	Blank Garments [Bring to Front]	""
60761	18791	Blank Hats	""
60774	18809	MoDaddy	""
60779	18814	T-shirts	""
60783	18823	Caswell Art	""
60862	18970	Brad Shipment	""
60787	18974	RUSH (Additional Tees)	""
60866	18979	ladies sample	""
60883	19006	Sample Shirts	""
60893	19019	Blank V-neck Sweatshirts - Shipped to Mike Segna	""
60900	19027	Union Jack (WARLEGGAN)	""
60910	19044	Tanks	""
60924	19067	T-shirts	""
60991	19278	Blank Samples	""
